"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK1","Generation - Solar  [MW] Intraday / BZN|DK1","Generation - Solar  [MW] Current / BZN|DK1","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore  [MW] Intraday / BZN|DK1","Generation - Wind Offshore  [MW] Current / BZN|DK1","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore  [MW] Intraday / BZN|DK1","Generation - Wind Onshore  [MW] Current / BZN|DK1"
"10.01.2022 17:00 - 10.01.2022 18:00","0","0","1","578","407","527","563","470","341"
"10.01.2022 18:00 - 10.01.2022 19:00","0","0","0","675","440","507","637","492","365"
"10.01.2022 19:00 - 10.01.2022 20:00","0","0","0","725","435","519","706","520","382"
"10.01.2022 20:00 - 10.01.2022 21:00","0","0","0","718","429","461","749","578","495"
"10.01.2022 21:00 - 10.01.2022 22:00","0","0","0","706","453","577","785","620","573"
"10.01.2022 22:00 - 10.01.2022 23:00","0","0","0","731","556","642","820","637","673"
"10.01.2022 23:00 - 11.01.2022 00:00","0","0","0","749","643","630","872","636","789"
"11.01.2022 00:00 - 11.01.2022 01:00","0","N/A","0","686","N/A","595","610","N/A","739"
"11.01.2022 01:00 - 11.01.2022 02:00","0","N/A","0","690","N/A","602","606","N/A","711"
"11.01.2022 02:00 - 11.01.2022 03:00","0","N/A","0","693","N/A","645","625","N/A","692"
"11.01.2022 03:00 - 11.01.2022 04:00","0","N/A","0","741","N/A","653","651","N/A","707"
"11.01.2022 04:00 - 11.01.2022 05:00","0","N/A","0","777","N/A","710","730","N/A","755"
"11.01.2022 05:00 - 11.01.2022 06:00","0","N/A","0","822","N/A","709","834","N/A","827"
"11.01.2022 06:00 - 11.01.2022 07:00","0","N/A","0","858","N/A","800","959","N/A","899"
"11.01.2022 07:00 - 11.01.2022 08:00","0","N/A","0","903","N/A","862","1100","N/A","1091"
"11.01.2022 08:00 - 11.01.2022 09:00","0","0","0","946","960","943","1256","1260","1260"
"11.01.2022 09:00 - 11.01.2022 10:00","7","10","22","949","982","893","1332","1345","1347"
"11.01.2022 10:00 - 11.01.2022 11:00","25","32","46","960","969","883","1308","1353","1431"
"11.01.2022 11:00 - 11.01.2022 12:00","43","48","51","995","976","921","1381","1469","1579"
"11.01.2022 12:00 - 11.01.2022 13:00","45","46","54","1019","1022","1004","1447","1533","1672"
"11.01.2022 13:00 - 11.01.2022 14:00","33","36","38","1021","1037","961","1401","1468","1679"
"11.01.2022 14:00 - 11.01.2022 15:00","18","25","23","1028","1024","915","1408","1462","1660"
"11.01.2022 15:00 - 11.01.2022 16:00","4","6","7","1038","1044","981","1485","1452","1603"
"11.01.2022 16:00 - 11.01.2022 17:00","0","0","0","976","1044","935","1380","1366","1606"
